X(a.u.) RDys_val RD*X Y(a.u.) RDys_val RD*Y Z(a.u.) RDys_val RD*Z 
-1.133836E+00 3.210707E-01 -3.640414E-01 -1.133836E+00 -3.962170E-17 4.492449E-17 -1.133836E+00 -3.962170E-17 4.492449E-17
-9.448630E-01 4.167426E-01 -3.937647E-01 -9.448630E-01 -6.171371E-17 5.831100E-17 -9.448630E-01 -6.171371E-17 5.831100E-17
-7.558904E-01 5.397172E-01 -4.079670E-01 -7.558904E-01 -9.990562E-17 7.551770E-17 -7.558904E-01 -9.990562E-17 7.551770E-17
-5.669178E-01 6.814651E-01 -3.863347E-01 -5.669178E-01 -1.681923E-16 9.535120E-17 -5.669178E-01 -1.681923E-16 9.535120E-17
-3.779452E-01 8.175136E-01 -3.089753E-01 -3.779452E-01 -3.026556E-16 1.143872E-16 -3.779452E-01 -3.026556E-16 1.143872E-16
-1.889726E-01 7.840335E-01 -1.481608E-01 -1.889726E-01 -5.805215E-16 1.097027E-16 -1.889726E-01 -5.805215E-16 1.097027E-16
0.000000E+00 -9.651057E-16 -0.000000E+00 0.000000E+00 -9.651057E-16 -0.000000E+00 0.000000E+00 -9.651057E-16 -0.000000E+00
1.889726E-01 -7.840335E-01 -1.481608E-01 1.889726E-01 -5.805215E-16 -1.097027E-16 1.889726E-01 -5.805215E-16 -1.097027E-16
3.779452E-01 -8.175136E-01 -3.089753E-01 3.779452E-01 -3.026556E-16 -1.143872E-16 3.779452E-01 -3.026556E-16 -1.143872E-16
5.669178E-01 -6.814651E-01 -3.863347E-01 5.669178E-01 -1.681923E-16 -9.535120E-17 5.669178E-01 -1.681923E-16 -9.535120E-17
7.558904E-01 -5.397172E-01 -4.079670E-01 7.558904E-01 -9.990562E-17 -7.551770E-17 7.558904E-01 -9.990562E-17 -7.551770E-17
9.448630E-01 -4.167426E-01 -3.937647E-01 9.448630E-01 -6.171371E-17 -5.831100E-17 9.448630E-01 -6.171371E-17 -5.831100E-17
1.133836E+00 -3.210707E-01 -3.640414E-01 1.133836E+00 -3.962170E-17 -4.492449E-17 1.133836E+00 -3.962170E-17 -4.492449E-17
1.322808E+00 -2.513296E-01 -3.324609E-01 1.322808E+00 -2.658455E-17 -3.516627E-17 1.322808E+00 -2.658455E-17 -3.516627E-17
1.511781E+00 -1.987197E-01 -3.004206E-01 1.511781E+00 -1.839224E-17 -2.780504E-17 1.511781E+00 -1.839224E-17 -2.780504E-17
1.700753E+00 -1.574878E-01 -2.678478E-01 1.700753E+00 -1.295651E-17 -2.203583E-17 1.700753E+00 -1.295651E-17 -2.203583E-17
1.889726E+00 -1.253348E-01 -2.368484E-01 1.889726E+00 -9.280158E-18 -1.753696E-17 1.889726E+00 -9.280158E-18 -1.753696E-17
2.078699E+00 -1.008159E-01 -2.095658E-01 2.078699E+00 -6.786096E-18 -1.410625E-17 2.078699E+00 -6.786096E-18 -1.410625E-17
2.267671E+00 -8.228003E-02 -1.865840E-01 2.267671E+00 -5.076880E-18 -1.151269E-17 2.267671E+00 -5.076880E-18 -1.151269E-17
2.456644E+00 -6.804325E-02 -1.671580E-01 2.456644E+00 -3.875479E-18 -9.520672E-18 2.456644E+00 -3.875479E-18 -9.520672E-18
2.645616E+00 -5.674239E-02 -1.501186E-01 2.645616E+00 -3.000981E-18 -7.939445E-18 2.645616E+00 -3.000981E-18 -7.939445E-18
2.834589E+00 -4.746449E-02 -1.345423E-01 2.834589E+00 -2.342941E-18 -6.641273E-18 2.834589E+00 -2.342941E-18 -6.641273E-18
3.023562E+00 -3.968021E-02 -1.199756E-01 3.023562E+00 -1.836275E-18 -5.552090E-18 3.023562E+00 -1.836275E-18 -5.552090E-18
3.212534E+00 -3.310602E-02 -1.063542E-01 3.212534E+00 -1.441922E-18 -4.632223E-18 3.212534E+00 -1.441922E-18 -4.632223E-18
3.401507E+00 -2.758063E-02 -9.381572E-02 3.401507E+00 -1.134529E-18 -3.859107E-18 3.401507E+00 -1.134529E-18 -3.859107E-18
3.590479E+00 -2.298623E-02 -8.253159E-02 3.590479E+00 -8.957728E-19 -3.216254E-18 3.590479E+00 -8.957728E-19 -3.216254E-18
3.779452E+00 -1.921120E-02 -7.260780E-02 3.779452E+00 -7.112268E-19 -2.688048E-18 3.779452E+00 -7.112268E-19 -2.688048E-18
3.968425E+00 -1.613990E-02 -6.404999E-02 3.968425E+00 -5.690696E-19 -2.258310E-18 3.968425E+00 -5.690696E-19 -2.258310E-18
4.157397E+00 -1.365554E-02 -5.677150E-02 4.157397E+00 -4.595893E-19 -1.910695E-18 4.157397E+00 -4.595893E-19 -1.910695E-18
4.346370E+00 -1.164683E-02 -5.062143E-02 4.346370E+00 -3.749416E-19 -1.629635E-18 4.346370E+00 -3.749416E-19 -1.629635E-18
4.535342E+00 -1.001404E-02 -4.541710E-02 4.535342E+00 -3.089454E-19 -1.401173E-18 4.535342E+00 -3.089454E-19 -1.401173E-18
4.724315E+00 -8.672557E-03 -4.097189E-02 4.724315E+00 -2.568567E-19 -1.213472E-18 4.724315E+00 -2.568567E-19 -1.213472E-18
4.913288E+00 -7.554015E-03 -3.711505E-02 4.913288E+00 -2.151237E-19 -1.056964E-18 4.913288E+00 -2.151237E-19 -1.056964E-18
5.102260E+00 -6.605513E-03 -3.370305E-02 5.102260E+00 -1.811451E-19 -9.242492E-19 5.102260E+00 -1.811451E-19 -9.242492E-19
5.291233E+00 -5.787670E-03 -3.062391E-02 5.291233E+00 -1.530486E-19 -8.098159E-19 5.291233E+00 -1.530486E-19 -8.098159E-19
5.480205E+00 -5.072146E-03 -2.779640E-02 5.480205E+00 -1.295023E-19 -7.096992E-19 5.480205E+00 -1.295023E-19 -7.096992E-19
5.669178E+00 -4.439109E-03 -2.516610E-02 5.669178E+00 -1.095616E-19 -6.211241E-19 5.669178E+00 -1.095616E-19 -6.211241E-19
5.858151E+00 -3.874936E-03 -2.269996E-02 5.858151E+00 -9.255215E-20 -5.421844E-19 5.858151E+00 -9.255215E-20 -5.421844E-19
6.047123E+00 -3.370298E-03 -2.038061E-02 6.047123E+00 -7.798338E-20 -4.715751E-19 6.047123E+00 -7.798338E-20 -4.715751E-19
6.236096E+00 -2.918679E-03 -1.820116E-02 6.236096E+00 -6.548716E-20 -4.083842E-19 6.236096E+00 -6.548716E-20 -4.083842E-19
6.425068E+00 -2.515287E-03 -1.616089E-02 6.425068E+00 -5.477625E-20 -3.519412E-19 6.425068E+00 -5.477625E-20 -3.519412E-19
6.614041E+00 -2.156310E-03 -1.426192E-02 6.614041E+00 -4.561702E-20 -3.017128E-19 6.614041E+00 -4.561702E-20 -3.017128E-19
6.803014E+00 -1.838443E-03 -1.250695E-02 6.803014E+00 -3.781215E-20 -2.572365E-19 6.803014E+00 -3.781215E-20 -2.572365E-19
6.991986E+00 -1.558603E-03 -1.089773E-02 6.991986E+00 -3.119016E-20 -2.180811E-19 6.991986E+00 -3.119016E-20 -2.180811E-19
7.180959E+00 -1.313791E-03 -9.434278E-03 7.180959E+00 -2.559920E-20 -1.838268E-19 7.180959E+00 -2.559920E-20 -1.838268E-19
7.369931E+00 -1.101031E-03 -8.114525E-03 7.369931E+00 -2.090349E-20 -1.540573E-19 7.369931E+00 -2.090349E-20 -1.540573E-19
7.558904E+00 -9.173724E-04 -6.934330E-03 7.558904E+00 -1.698124E-20 -1.283596E-19 7.558904E+00 -1.698124E-20 -1.283596E-19
7.747877E+00 -7.599103E-04 -5.887692E-03 7.747877E+00 -1.372342E-20 -1.063273E-19 7.747877E+00 -1.372342E-20 -1.063273E-19
7.936849E+00 -6.258247E-04 -4.967076E-03 7.936849E+00 -1.103283E-20 -8.756594E-20 7.936849E+00 -1.103283E-20 -8.756594E-20
8.125822E+00 -5.124159E-04 -4.163800E-03 8.125822E+00 -8.823437E-21 -7.169768E-20 8.125822E+00 -8.823437E-21 -7.169768E-20
8.314794E+00 -4.171378E-04 -3.468415E-03 8.314794E+00 -7.019571E-21 -5.836629E-20 8.314794E+00 -7.019571E-21 -5.836629E-20
8.503767E+00 -3.376230E-04 -2.871067E-03 8.503767E+00 -5.555245E-21 -4.724051E-20 8.503767E+00 -5.555245E-21 -4.724051E-20
8.692740E+00 -2.716993E-04 -2.361811E-03 8.692740E+00 -4.373351E-21 -3.801640E-20 8.692740E+00 -4.373351E-21 -3.801640E-20
8.881712E+00 -2.173989E-04 -1.930875E-03 8.881712E+00 -3.424863E-21 -3.041865E-20 8.881712E+00 -3.424863E-21 -3.041865E-20
9.070685E+00 -1.729605E-04 -1.568870E-03 9.070685E+00 -2.668022E-21 -2.420079E-20 9.070685E+00 -2.668022E-21 -2.420079E-20
9.259657E+00 -1.368249E-04 -1.266951E-03 9.259657E+00 -2.067534E-21 -1.914466E-20 9.259657E+00 -2.067534E-21 -1.914466E-20
9.448630E+00 -1.076265E-04 -1.016923E-03 9.448630E+00 -1.593796E-21 -1.505919E-20 9.448630E+00 -1.593796E-21 -1.505919E-20
9.637603E+00 -8.418144E-05 -8.113073E-04 9.637603E+00 -1.222165E-21 -1.177874E-20 9.637603E+00 -1.222165E-21 -1.177874E-20
9.826575E+00 -6.547317E-05 -6.433770E-04 9.826575E+00 -9.322743E-22 -9.161063E-21 9.826575E+00 -9.322743E-22 -9.161063E-21
1.001555E+01 -5.063683E-05 -5.071556E-04 1.001555E+01 -7.074151E-22 -7.085150E-21 1.001555E+01 -7.074151E-22 -7.085150E-21
1.020452E+01 -3.894322E-05 -3.973969E-04 1.020452E+01 -5.339761E-22 -5.448970E-21 1.020452E+01 -5.339761E-22 -5.448970E-21
1.039349E+01 -2.978276E-05 -3.095469E-04 1.039349E+01 -4.009461E-22 -4.167230E-21 1.039349E+01 -4.009461E-22 -4.167230E-21
1.058247E+01 -2.265016E-05 -2.396946E-04 1.058247E+01 -2.994794E-22 -3.169231E-21 1.058247E+01 -2.994794E-22 -3.169231E-21
1.077144E+01 -1.712994E-05 -1.845141E-04 1.077144E+01 -2.225178E-22 -2.396837E-21 1.077144E+01 -2.225178E-22 -2.396837E-21
1.096041E+01 -1.288319E-05 -1.412051E-04 1.096041E+01 -1.644672E-22 -1.802628E-21 1.096041E+01 -1.644672E-22 -1.802628E-21
1.114938E+01 -9.635603E-06 -1.074310E-04 1.114938E+01 -1.209235E-22 -1.348222E-21 1.114938E+01 -1.209235E-22 -1.348222E-21
1.133836E+01 -7.166816E-06 -8.125991E-05 1.133836E+01 -8.844202E-23 -1.002787E-21 1.133836E+01 -8.844202E-23 -1.002787E-21
1.152733E+01 -5.301145E-06 -6.110804E-05 1.152733E+01 -6.434629E-23 -7.417409E-22 1.152733E+01 -6.434629E-23 -7.417409E-22
1.171630E+01 -3.899538E-06 -4.568816E-05 1.171630E+01 -4.656989E-23 -5.456268E-22 1.171630E+01 -4.656989E-23 -5.456268E-22
1.190527E+01 -2.852728E-06 -3.396251E-05 1.190527E+01 -3.352769E-23 -3.991563E-22 1.190527E+01 -3.352769E-23 -3.991563E-22
1.209425E+01 -2.075463E-06 -2.510116E-05 1.209425E+01 -2.401147E-23 -2.904006E-22 1.209425E+01 -2.401147E-23 -2.904006E-22
1.228322E+01 -1.501690E-06 -1.844559E-05 1.228322E+01 -1.710609E-23 -2.101178E-22 1.228322E+01 -1.710609E-23 -2.101178E-22
1.247219E+01 -1.080587E-06 -1.347729E-05 1.247219E+01 -1.212270E-23 -1.511967E-22 1.247219E+01 -1.212270E-23 -1.511967E-22
1.266116E+01 -7.733143E-07 -9.791060E-06 1.266116E+01 -8.546041E-24 -1.082028E-22 1.266116E+01 -8.546041E-24 -1.082028E-22
1.285014E+01 -5.503924E-07 -7.072618E-06 1.285014E+01 -5.993041E-24 -7.701140E-23 1.285014E+01 -5.993041E-24 -7.701140E-23
1.303911E+01 -3.895935E-07 -5.079952E-06 1.303911E+01 -4.180674E-24 -5.451226E-23 1.303911E+01 -4.180674E-24 -5.451226E-23
1.322808E+01 -2.742688E-07 -3.628051E-06 1.322808E+01 -2.901096E-24 -3.837594E-23 1.322808E+01 -2.901096E-24 -3.837594E-23
1.341705E+01 -1.920301E-07 -2.576479E-06 1.341705E+01 -2.002602E-24 -2.686903E-23 1.341705E+01 -2.002602E-24 -2.686903E-23
1.360603E+01 -1.337189E-07 -1.819383E-06 1.360603E+01 -1.375131E-24 -1.871007E-23 1.360603E+01 -1.375131E-24 -1.871007E-23
1.379500E+01 -9.260820E-08 -1.277530E-06 1.379500E+01 -9.393129E-25 -1.295782E-23 1.379500E+01 -9.393129E-25 -1.295782E-23
1.398397E+01 -6.378833E-08 -8.920142E-07 1.398397E+01 -6.382535E-25 -8.925319E-24 1.398397E+01 -6.382535E-25 -8.925319E-24
1.417294E+01 -4.369890E-08 -6.193421E-07 1.417294E+01 -4.314127E-25 -6.114388E-24 1.417294E+01 -4.314127E-25 -6.114388E-24
