Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      2.167699      2.634779E-01      1.673051E-03      2.651510E-01
      2.199115      2.635650E-01     -1.169331E-03      2.623957E-01
      2.230531      2.636538E-01     -4.070360E-03      2.595835E-01
      2.261947      2.637441E-01     -7.018585E-03      2.567256E-01
      2.293363      2.638355E-01     -1.000237E-02      2.538332E-01
      2.324779      2.639277E-01     -1.300994E-02      2.509177E-01
      2.356194      2.640201E-01     -1.602943E-02      2.479907E-01
      2.387610      2.641126E-01     -1.904892E-02      2.450637E-01
      2.419026      2.642047E-01     -2.205650E-02      2.421482E-01
      2.450442      2.642961E-01     -2.504028E-02      2.392559E-01
      2.481858      2.643864E-01     -2.798851E-02      2.363979E-01
      2.513274      2.644753E-01     -3.088954E-02      2.335858E-01
      2.544690      2.645624E-01     -3.373192E-02      2.308304E-01
      2.576106      2.646473E-01     -3.650444E-02      2.281428E-01
      2.607522      2.647297E-01     -3.919615E-02      2.255336E-01
      2.638938      2.648094E-01     -4.179644E-02      2.230129E-01
      2.670354      2.648859E-01     -4.429503E-02      2.205909E-01
      2.701770      2.649590E-01     -4.668207E-02      2.182769E-01
      2.733186      2.650284E-01     -4.894814E-02      2.160803E-01
      2.764602      2.650938E-01     -5.108430E-02      2.140095E-01
      2.796017      2.651550E-01     -5.308211E-02      2.120729E-01
      2.827433      2.652118E-01     -5.493369E-02      2.102781E-01
      2.858849      2.652638E-01     -5.663173E-02      2.086320E-01
      2.890265      2.653109E-01     -5.816954E-02      2.071413E-01
      2.921681      2.653529E-01     -5.954103E-02      2.058118E-01
      2.953097      2.653896E-01     -6.074081E-02      2.046488E-01
      2.984513      2.654210E-01     -6.176413E-02      2.036568E-01
      3.015929      2.654468E-01     -6.260696E-02      2.028398E-01
      3.047345      2.654670E-01     -6.326596E-02      2.022010E-01
      3.078761      2.654814E-01     -6.373855E-02      2.017429E-01
      3.110177      2.654901E-01     -6.402285E-02      2.014673E-01
      3.141593      2.654931E-01     -6.411774E-02      2.013753E-01
__________________________________
Energy=0.700000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.000000      2.397843E-01     -8.095170E-02      1.588326E-01
      0.031416      2.397791E-01     -8.083190E-02      1.589472E-01
      0.062832      2.397635E-01     -8.047296E-02      1.592905E-01
      0.094248      2.397376E-01     -7.987630E-02      1.598613E-01
      0.125664      2.397014E-01     -7.904427E-02      1.606571E-01
      0.157080      2.396552E-01     -7.798016E-02      1.616750E-01
      0.188496      2.395990E-01     -7.668817E-02      1.629109E-01
      0.219911      2.395332E-01     -7.517340E-02      1.643598E-01
      0.251327      2.394580E-01     -7.344182E-02      1.660161E-01
      0.282743      2.393736E-01     -7.150027E-02      1.678733E-01
      0.314159      2.392804E-01     -6.935640E-02      1.699240E-01
      0.345575      2.391788E-01     -6.701870E-02      1.721601E-01
      0.376991      2.390692E-01     -6.449637E-02      1.745728E-01
      0.408407      2.389520E-01     -6.179937E-02      1.771526E-01
      0.439823      2.388277E-01     -5.893835E-02      1.798893E-01
      0.471239      2.386967E-01     -5.592459E-02      1.827721E-01
      0.502655      2.385596E-01     -5.277000E-02      1.857896E-01
      0.534071      2.384169E-01     -4.948701E-02      1.889299E-01
      0.565487      2.382693E-01     -4.608860E-02      1.921807E-01
      0.596903      2.381171E-01     -4.258816E-02      1.955290E-01
      0.628319      2.379612E-01     -3.899952E-02      1.989617E-01
      0.659734      2.378020E-01     -3.533683E-02      2.024652E-01
